NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
12225,12225,12225,KAIFIYAT EXP    ,AZAMGARH       ,16:25,DELHI          ,07:00
12226,12226,12226,KAIFIYAT EXP    ,DELHI          ,19:20,AZAMGARH       ,09:30
12229,12229,12229,LUCKNOW MAIL    ,LUCKNOW NR     ,22:15,NEW DELHI      ,07:10
12230,12230,12230,LUCKNOW MAIL    ,NEW DELHI      ,22:10,LUCKNOW NR     ,06:45
12231,12231,12231,LKO CDG EXPRESS ,LUCKNOW NR     ,22:30,CHANDIGARH     ,10:00
12232,12232,12232,CDG LKO EXPRESS ,CHANDIGARH     ,20:50,LUCKNOW NR     ,08:35
12233,12233,12233,LKO NDLS AC EXP ,LUCKNOW NR     ,23:30,NEW DELHI      ,07:30
12234,12234,12234,NDLS LKO AC EXP ,NEW DELHI      ,23:30,LUCKNOW NR     ,07:10
12237,12237,12237,BEGAMPURA EXP   ,VARANASI JN    ,12:50,JAMMU TAWI     ,11:25
12238,12238,12238,BEGAMPURA EXP   ,JAMMU TAWI     ,14:00,VARANASI JN    ,13:00
12241,12241,12241,CDG ASR SUP     ,CHANDIGARH     ,17:25,AMRITSAR JN    ,21:25
12242,12242,12242,ASR CDG SUP     ,AMRITSAR JN    ,05:15,CHANDIGARH     ,09:10
12247,12247,12247,BDTS NZM YUVA E ,BANDRA TERMINUS,16:50,H NIZAMUDDIN   ,09:40
12248,12248,12248,NZM  BDTS  YUVA ,H NIZAMUDDIN   ,15:40,BANDRA TERMINUS,09:20
12249,12249,12249,HWH NDLS YUVA E ,HOWRAH JN      ,18:40,NEW DELHI      ,11:25
12250,12250,12250,NDLS HWH YUVA   ,NEW DELHI      ,19:45,HOWRAH JN      ,12:35
12251,12251,12251,WAINGANGA EXP   ,YESVANTPUR JN  ,23:40,KORBA          ,04:30
12252,12252,12252,WAINGANGA EXP   ,KORBA          ,08:00,YESVANTPUR JN  ,13:30
12253,12253,12253,ANGA EXPRESS    ,YESVANTPUR JN  ,13:30,BHAGALPUR      ,08:30
12254,12254,12254,ANGA EXPRESS    ,BHAGALPUR      ,13:30,YESVANTPUR JN  ,09:05
12258,12258,12258,YESVANTPUR EXP  ,KOCHUVELI      ,17:00,YESVANTPUR JN  ,09:30
12279,12279,12279,TAJ EXPRESS     ,JHANSI JN      ,15:20,H NIZAMUDDIN   ,22:00
12280,12280,12280,TAJ EXPRESS     ,H NIZAMUDDIN   ,07:10,JHANSI JN      ,14:00
12287,12287,12287,DEHRADUN EXP    ,KOCHUVELI      ,08:50,DEHRADUN       ,18:10
12288,12288,12288,DDN KCVL SUP EXP,DEHRADUN       ,05:50,KOCHUVELI      ,15:15
12291,12291,12291,YPR CHENNAI EXP ,YESVANTPUR JN  ,22:45,CHENNAI CENTRAL,05:15
12292,12292,12292,YESVANTPUR EXP  ,CHENNAI CENTRAL,23:30,YESVANTPUR JN  ,06:00
12295,12295,12295,SANGHAMITRA EXP ,BANGALORE CY JN,09:00,PATNA JN       ,09:20
12296,12296,12296,SANGHA MITRA EX ,PATNA JN       ,19:55,BANGALORE CY JN,20:20
12303,12303,12303,POORVA EXPRESS  ,HOWRAH JN      ,08:05,NEW DELHI      ,07:20
12304,12304,12304,POORVA EXPRESS  ,NEW DELHI      ,16:20,HOWRAH JN      ,16:55
12307,12307,12307,HWH JU  EXPRESS ,HOWRAH JN      ,23:40,JODHPUR JN     ,06:25
12308,12308,12308,JU HWH SUPFAST  ,JODHPUR JN     ,20:30,HOWRAH JN      ,04:00
12311,12311,12311,HWH DLI KLK MAIL,HOWRAH JN      ,19:40,KALKA          ,04:30
12312,12312,12312,KALKA MAIL      ,KALKA          ,23:55,HOWRAH JN      ,07:55
12315,12315,12315,ANNANYA  EXPRES ,SEALDAH        ,13:10,UDAIPUR CITY   ,03:00
12316,12316,12316,ANANYA EXPRESS  ,UDAIPUR CITY   ,00:25,SEALDAH        ,15:10
12317,12317,12317,AKAL TAKHT EXP  ,SEALDAH        ,07:40,AMRITSAR JN    ,17:15
12318,12318,12318,AKAL TAKHAT EXP ,AMRITSAR JN    ,05:55,SEALDAH        ,15:10
12319,12319,12319,KOAA AGC EXPRESS,KOLKATA        ,13:10,AGRA CANTT     ,12:00
12320,12320,12320,AGC KOAA EXP    ,AGRA CANTT     ,17:00,KOLKATA        ,17:20
12321,12321,12321,HWH MUMBAI MAIL ,HOWRAH JN      ,22:00,MUMBAI CST     ,11:25
12322,12322,12322,KOLKATA MAIL    ,MUMBAI CST     ,21:25,HOWRAH JN      ,11:45
12323,12323,12323,HWH NDLS EXPRESS,HOWRAH JN      ,18:50,NEW DELHI      ,17:00
12324,12324,12324,NDLS HWH EXPRESS,NEW DELHI      ,07:00,HOWRAH JN      ,06:00
12325,12325,12325,KOAA NLDM EXP   ,KOLKATA        ,07:40,NANGAL DAM     ,16:00
12326,12326,12326,NLDM KOAA EXP   ,NANGAL DAM     ,07:00,KOLKATA        ,15:15
12327,12327,12327,UPASANA EXPRESS ,HOWRAH JN      ,13:10,DEHRADUN       ,18:10
12328,12328,12328,UPASANA EXPRESS ,DEHRADUN       ,22:15,HOWRAH JN      ,03:15
12329,12329,12329,W B SMPRK KRNTI ,SEALDAH        ,13:10,DELHI          ,12:05
12330,12330,12330,W B SMPRK KRNTI ,DELHI          ,19:10,SEALDAH        ,17:25
12331,12331,12331,HIMGIRI EXPRESS ,HOWRAH JN      ,23:55,JAMMU TAWI     ,12:30
12332,12332,12332,HIMGIRI EXPRESS ,JAMMU TAWI     ,22:45,HOWRAH JN      ,11:30
12333,12333,12333,VIBHUTI EXPRESS ,HOWRAH JN      ,20:00,ALLAHABAD CITY ,12:00
12334,12334,12334,VIBHUTI EXPRESS ,ALLAHABAD CITY ,15:40,HOWRAH JN      ,07:30
12335,12335,12335,BGP LTT EXPRESS ,BHAGALPUR      ,09:00,LOKMANYATILAK T,20:00
12336,12336,12336,BHAGALPUR EXP   ,LOKMANYATILAK T,08:05,BHAGALPUR      ,18:30
12337,12337,12337,SANTINIKATANEXP ,HOWRAH JN      ,10:10,BOLPUR S NIKTN ,12:25
12338,12338,12338,SANTINIKETANEXP ,BOLPUR S NIKTN ,13:10,HOWRAH JN      ,15:40
12339,12339,12339,COAL FIELD EXP  ,HOWRAH JN      ,17:20,DHANBAD JN     ,21:40
12340,12340,12340,COALFIELD EXP   ,DHANBAD JN     ,05:55,HOWRAH JN      ,10:25
12341,12341,12341,AGNIBINA EXPRES ,HOWRAH JN      ,18:20,ASANSOL JN     ,21:35
12342,12342,12342,AGNIBINA EXPRES ,ASANSOL JN     ,05:30,HOWRAH JN      ,08:45
12343,12343,12343,DARJEELING MAIL ,SEALDAH        ,22:05,NEW JALPAIGURI ,08:00
12344,12344,12344,DARJEELING MAIL ,HALDIBARI      ,16:45,SEALDAH        ,06:00
12345,12345,12345,SARAIGHAT EXP   ,HOWRAH JN      ,15:50,GUWAHATI       ,09:30
12346,12346,12346,SARAIGHAT EXP   ,GUWAHATI       ,12:45,HOWRAH JN      ,05:10
12347,12347,12347,RAMPURHAT EXP   ,HOWRAH JN      ,11:55,RAMPUR HAT     ,15:35
12348,12348,12348,RAMPURHAT EXP   ,RAMPUR HAT     ,16:35,HOWRAH JN      ,20:15
12349,12349,12349,BGP NDLS EXP    ,BHAGALPUR      ,17:30,NEW DELHI      ,13:00
12350,12350,12350,NDLS BGP EXPRESS,NEW DELHI      ,23:45,BHAGALPUR      ,20:00
12351,12351,12351,DANAPUR EXPRESS ,HOWRAH JN      ,20:35,DANAPUR        ,07:00
12352,12352,12352,DANAPUR HWH EXP ,DANAPUR        ,20:35,HOWRAH JN      ,06:35
12353,12353,12353,HWH LKU EXP     ,HOWRAH JN      ,08:15,LAL KUAN       ,08:40
12354,12354,12354,LKU HWH EXP     ,LAL KUAN       ,18:35,HOWRAH JN      ,18:55
12355,12355,12355,ARCHNA EXPRESS  ,RAJENDRANAGAR T,07:05,JAMMU TAWI     ,10:25
12356,12356,12356,ARCHANA EXPRESS ,JAMMU TAWI     ,20:10,RAJENDRANAGAR T,23:05
12357,12357,12357,DURGIANA EXP    ,KOLKATA        ,12:20,AMRITSAR JN    ,17:15
12358,12358,12358,ASR KOAA SUP EXP,AMRITSAR JN    ,05:55,KOLKATA        ,11:20
12361,12361,12361,ASN CSTM EXPRESS,ASANSOL JN     ,19:45,MUMBAI CST     ,06:15
12362,12362,12362,CSTM ASANSOL EXP,MUMBAI CST     ,11:05,ASANSOL JN     ,23:15
12363,12363,12363,KOAA HDB SUPF EX,KOLKATA        ,09:05,HALDIBARI      ,20:25
12364,12364,12364,HDB KOAA SF EXP ,HALDIBARI      ,08:30,KOLKATA        ,19:40
12367,12367,12367,VIKRAMSHILA EXP ,BHAGALPUR      ,11:15,ANAND VIHAR TRM,07:40
12368,12368,12368,VIKRAMSHILA EXP ,ANAND VIHAR TRM,14:40,BHAGALPUR      ,12:25
12369,12369,12369,KUMBHA EXPRESS  ,HOWRAH JN      ,13:10,HARIDWAR JN    ,16:05
12370,12370,12370,HW HWH S F EXP  ,HARIDWAR JN    ,23:55,HOWRAH JN      ,03:15
12371,12371,12371,HWH JSM EXP     ,HOWRAH JN      ,08:15,JAISALMER      ,23:20
12372,12372,12372,JSM HWH SF EXP  ,JAISALMER      ,00:45,HOWRAH JN      ,16:30
12373,12373,12373,SDAH RPH INTRCTY,SEALDAH        ,09:05,RAMPUR HAT     ,12:45
12374,12374,12374,RPH SDAH INTRCTY,RAMPUR HAT     ,11:00,SEALDAH        ,14:40
12375,12375,12375,MAS ASN EXPRESS ,CHENNAI CENTRAL,14:35,ASANSOL JN     ,21:55
12376,12376,12376,ASN MAS EXPRESS ,ASANSOL JN     ,16:00,CHENNAI CENTRAL,22:45
12377,12377,12377,PADATIK EXPRESS ,SEALDAH        ,22:55,NEW JALPAIGURI ,09:05
12378,12378,12378,PADATIK EXPRESS ,NEW JALPAIGURI ,21:00,SEALDAH        ,06:45
12379,12379,12379,JALIANWALAB EXP ,SEALDAH        ,13:10,AMRITSAR JN    ,19:45
12380,12380,12380,JALIANWALA B EX ,AMRITSAR JN    ,10:55,SEALDAH        ,17:25
12381,12381,12381,POORVA EXPRESS  ,HOWRAH JN      ,08:15,NEW DELHI      ,07:20
12382,12382,12382,POORVA EXPRESS  ,NEW DELHI      ,16:20,HOWRAH JN      ,16:55
12383,12383,12383,INTERCITY  EXP  ,SEALDAH        ,17:00,ASANSOL JN     ,20:55
12384,12384,12384,INTERCITY  EXP  ,ASANSOL JN     ,06:45,SEALDAH        ,10:40
12385,12385,12385,HWH DHN  D D EXP,HOWRAH JN      ,08:35,DHANBAD JN     ,12:50
12386,12386,12386,DHN HWH D D EXP ,DHANBAD JN     ,18:30,HOWRAH JN      ,22:40
12389,12389,12389,GAYA MS EXPRESS ,GAYA JN        ,05:45,CHENNAI EGMORE ,20:45
12390,12390,12390,MS GAYA EXPRESS ,CHENNAI EGMORE ,07:30,GAYA JN        ,21:40
12391,12391,12391,SHRAMJEEVI EXP  ,RAJGIR         ,08:10,NEW DELHI      ,05:10
12392,12392,12392,SHRAMJEVI N EXP ,NEW DELHI      ,13:15,RAJGIR         ,10:10
12393,12393,12393,S KRANTI SUP EX ,RAJENDRANAGAR T,17:35,NEW DELHI      ,08:35
12394,12394,12394,SAMPOORN K EXP  ,NEW DELHI      ,17:30,RAJENDRANAGAR T,07:35
12395,12395,12395,ZIYARAT EXPRESS ,RAJENDRANAGAR T,18:45,AJMER JN       ,15:10
12396,12396,12396,ZIYARAT EXPRESS ,AJMER JN       ,23:55,RAJENDRANAGAR T,23:05
12397,12397,12397,MAHABODHI EXP   ,GAYA JN        ,14:30,NEW DELHI      ,05:00
12398,12398,12398,MAHABODHI EXP   ,NEW DELHI      ,14:10,GAYA JN        ,06:20
12401,12401,12401,MAGADH EXPRESS  ,ISLAMPUR       ,16:10,NEW DELHI      ,11:45
12402,12402,12402,MAGADH EXPRESS  ,NEW DELHI      ,20:10,ISLAMPUR       ,13:55
12403,12403,12403,ALD JP EXPRESS  ,ALLAHABAD JN   ,23:30,JAIPUR         ,12:50
12404,12404,12404,JP  ALD EXPRESS ,JAIPUR         ,15:20,ALLAHABAD JN   ,04:55
12405,12405,12405,GONDWANA EXPRES ,BHUSAVAL JN    ,05:40,H NIZAMUDDIN   ,07:25
12406,12406,12406,GONDWANA EXPRESS,H NIZAMUDDIN   ,15:25,BHUSAVAL JN    ,15:50
12409,12409,12409,GONDWANA EXPRES ,RAIGARH        ,03:30,H NIZAMUDDIN   ,07:25
12410,12410,12410,GONDWANA EXPRES ,H NIZAMUDDIN   ,15:25,RAIGARH        ,19:05
12411,12411,12411,INTERCITY EXP   ,CHANDIGARH     ,06:55,AMRITSAR JN    ,11:25
12412,12412,12412,INTERCITY EXP   ,AMRITSAR JN    ,17:30,CHANDIGARH     ,21:55
12413,12413,12413,AII JAT EXPRESS ,AJMER JN       ,14:05,JAMMU TAWI     ,08:10
12414,12414,12414,JAMMU AII EXP   ,JAMMU TAWI     ,18:15,AJMER JN       ,12:20
12415,12415,12415,NIZAMUDDIN EXP  ,INDORE JN BG   ,16:00,H NIZAMUDDIN   ,05:40
12416,12416,12416,INTERCITY  EXP  ,H NIZAMUDDIN   ,22:15,INDORE JN BG   ,12:00
12417,12417,12417,PRAYAG RAJ EXP  ,ALLAHABAD JN   ,21:30,NEW DELHI      ,06:55
12418,12418,12418,PRAYAG RAJ EXP  ,NEW DELHI      ,21:25,ALLAHABAD JN   ,06:45
12419,12419,12419,GOMTI EXP       ,LUCKNOW NR     ,05:25,NEW DELHI      ,14:00
12420,12420,12420,GOMTI EXPRESS   ,NEW DELHI      ,12:30,LUCKNOW NR     ,21:25
12421,12421,12421,NED ASR SUP EXP ,H SAHIB NANDED ,11:00,AMRITSAR JN    ,22:05
12422,12422,12422,ASR NED SF EXP  ,AMRITSAR JN    ,14:30,H SAHIB NANDED ,23:45
12427,12427,12427,REWA ANVT EXP   ,REWA           ,16:00,ANAND VIHAR TRM,06:30
12428,12428,12428,ANVT REWA EXP   ,ANAND VIHAR TRM,21:15,REWA           ,11:00
12443,12443,12443,HLZ ANVT WKLY SF,HALDIA         ,08:05,ANAND VIHAR TRM,11:50
12444,12444,12444,ANVT HLZ S F EXP,ANAND VIHAR TRM,19:10,HALDIA         ,20:30
12445,12445,12445,UTTAR S KRANTI  ,NEW DELHI      ,20:50,UDHAMPUR       ,08:05
12446,12446,12446,UTTAR S KRANTI  ,UDHAMPUR       ,19:50,NEW DELHI      ,06:50
12447,12447,12447,U P SMPRK KRNTI ,MANIKPUR JN    ,17:05,H NIZAMUDDIN   ,05:30
12448,12448,12448,U P SMPRK KRNTI ,H NIZAMUDDIN   ,20:15,MANIKPUR JN    ,08:35
12449,12449,12449,GOA SMPRK K EXP ,MADGAON        ,11:20,CHANDIGARH     ,23:45
12450,12450,12450,GOA SMPRK K EXP ,CHANDIGARH     ,01:30,MADGAON        ,13:15
12451,12451,12451,SHRAM SHKTI EXP ,KANPUR CENTRAL ,23:45,NEW DELHI      ,06:20
12452,12452,12452,SHRAM SHKTI EXP ,NEW DELHI      ,23:50,KANPUR CENTRAL ,06:30
12455,12455,12455,DEE SGNR SF EXP ,DELHI S ROHILLA,22:45,SHRI GANGANAGAR,07:30
12456,12456,12456,SGNR DEE SF EXP ,SHRI GANGANAGAR,22:35,DELHI S ROHILLA,07:20
12457,12457,12457,DEE BKN  S F EXP,DELHI S ROHILLA,23:35,BIKANER JN     ,07:40
12458,12458,12458,BKN DEE S F EXP ,BIKANER JN     ,22:20,DELHI S ROHILLA,06:10
12459,12459,12459,NDLSASR EXPRESS ,NEW DELHI      ,13:30,AMRITSAR JN    ,21:45
12460,12460,12460,ASR NDLS EXP    ,AMRITSAR JN    ,06:15,NEW DELHI      ,14:15
12461,12461,12461,MANDOR EXPRESS  ,DELHI          ,21:15,JODHPUR JN     ,07:45
12462,12462,12462,MANDOR EXPRESS  ,JODHPUR JN     ,20:00,DELHI          ,06:45
12463,12463,12463,RAJSTHN S KRANTI,DELHI S ROHILLA,22:25,JODHPUR JN     ,08:25
12464,12464,12464,RJSTHN S KRNTI  ,JODHPUR JN     ,19:00,DELHI S ROHILLA,05:35
12465,12465,12465,RANTHAMBORE EXP ,INDORE JN BG   ,06:00,JODHPUR JN     ,22:15
12466,12466,12466,INTERCITY EXP   ,JODHPUR JN     ,06:10,INDORE JN BG   ,22:40
12467,12467,12467,BKN JP INTERCIT ,BIKANER JN     ,06:00,JAIPUR         ,12:35
12468,12468,12468,JP BKN INTERCIT ,JAIPUR         ,15:00,BIKANER JN     ,21:40
12469,12469,12469,CNB JAT EXPRESS ,KANPUR CENTRAL ,17:15,JAMMU TAWI     ,11:50
12470,12470,12470,JAT CNB EXPRESS ,JAMMU TAWI     ,20:10,KANPUR CENTRAL ,14:50
12471,12471,12471,SWARAJ EXPRESS  ,BANDRA TERMINUS,07:55,JAMMU TAWI     ,14:45
12472,12472,12472,SWARAJ EXPRESS  ,JAMMU TAWI     ,11:15,BANDRA TERMINUS,18:05
12473,12473,12473,SARVODAYA EXP   ,AHMEDABAD JN   ,11:35,JAMMU TAWI     ,14:45
12474,12474,12474,SARVODAYA EXP   ,JAMMU TAWI     ,11:15,AHMEDABAD JN   ,14:15
12475,12475,12475,HAPA JAT EXPRES ,HAPA           ,05:30,JAMMU TAWI     ,14:45
12476,12476,12476,JAT HAPA EXP    ,JAMMU TAWI     ,11:15,HAPA           ,20:50
12477,12477,12477,JAM JAT EXPRESS ,JAMNAGAR       ,05:05,JAMMU TAWI     ,14:45
12478,12478,12478,JAT JAMNAGR EXP ,JAMMU TAWI     ,11:15,JAMNAGAR       ,21:00
12479,12479,12479,SURYA NAGRI EXP ,JODHPUR JN     ,18:45,BANDRA TERMINUS,11:35
12480,12480,12480,SURYANAGARI EXP ,BANDRA TERMINUS,13:30,JODHPUR JN     ,06:30
12481,12481,12481,INTERCITY EXP   ,DELHI          ,13:10,SHRI GANGANAGAR,20:35
12482,12482,12482,INTERCITY EXP   ,SHRI GANGANAGAR,05:45,DELHI          ,13:15
12483,12483,12483,AMRITSAR EXP    ,KOCHUVELI      ,09:15,AMRITSAR JN    ,19:45
12484,12484,12484,ASR KCVL EXPRESS,AMRITSAR JN    ,05:55,KOCHUVELI      ,15:15
12485,12485,12485,NED SGNR EXPRES ,H SAHIB NANDED ,11:00,SHRI GANGANAGAR,22:25
12486,12486,12486,SGNR NED EXPRESS,SHRI GANGANAGAR,14:55,H SAHIB NANDED ,23:45
12487,12487,12487,SEEMANCHAL EXP  ,JOGBANI        ,20:10,ANAND VIHAR TRM,20:50
12488,12488,12488,SEEMANCHAL EXP  ,ANAND VIHAR TRM,07:40,JOGBANI        ,08:25
12489,12489,12489,BKN DDR SF EXP  ,BIKANER JN     ,13:50,DADAR          ,12:00
12490,12490,12490,DDR BIKANER EXP ,DADAR          ,14:35,BIKANER JN     ,13:10
12491,12491,12491,MOUR DHWAJ EXP  ,MUZAFFARPUR JN ,07:00,JAMMU TAWI     ,11:50
12492,12492,12492,MAUR DHAWAJ EXP ,JAMMU TAWI     ,20:10,MUZAFFARPUR JN ,23:50
12495,12495,12495,BKN KOAA SUP EX ,BIKANER JN     ,05:20,KOLKATA        ,13:15
12496,12496,12496,PRATAP EXPRESS  ,KOLKATA        ,22:45,BIKANER JN     ,05:50
12497,12497,12497,SHANE PUNJAB    ,NEW DELHI      ,06:40,AMRITSAR JN    ,14:20
12498,12498,12498,SHANE PUNJAB    ,AMRITSAR JN    ,15:10,NEW DELHI      ,22:50
12501,12501,12501,PORVOTR S KRNTI ,GUWAHATI       ,06:00,NEW DELHI      ,13:00
12502,12502,12502,PORVOTR S KRNTI ,NEW DELHI      ,23:45,GUWAHATI       ,08:15
12505,12505,12505,NORTH EAST EXP  ,GUWAHATI       ,09:45,ANAND VIHAR TRM,19:15
12506,12506,12506,NORTH EAST EXP  ,ANAND VIHAR TRM,06:50,GUWAHATI       ,16:45
12507,12507,12507,GUWAHATI EXP    ,TRIVANDRUM CNTL,17:00,GUWAHATI       ,07:55
12508,12508,12508,GHY TVC EXPRESS ,GUWAHATI       ,06:30,TRIVANDRUM CNTL,22:30
12509,12509,12509,GUWAHATI EXP    ,BANGALORE CY JN,23:30,GUWAHATI       ,05:50
12510,12510,12510,GHY SBC EXPRESS ,GUWAHATI       ,06:30,BANGALORE CY JN,11:50
12511,12511,12511,RAPTI SAGAR EXP ,GORAKHPUR JN   ,06:35,TRIVANDRUM CNTL,17:30
12512,12512,12512,RAPTISAGAR EXP  ,TRIVANDRUM CNTL,06:15,GORAKHPUR JN   ,15:20
12513,12513,12513,SC GHY EXP      ,SECUNDERABAD JN,07:30,GUWAHATI       ,05:50
12514,12514,12514,GHY SC EXPRESS  ,GUWAHATI       ,06:30,SECUNDERABAD JN,04:20
12515,12515,12515,GUWAHATI EXP    ,TRIVANDRUM CNTL,12:50,GUWAHATI       ,05:50
12516,12516,12516,GHY TVC EXPRESS ,GUWAHATI       ,06:30,TRIVANDRUM CNTL,22:30
12519,12519,12519,LTT KYQ AC EXP  ,LOKMANYATILAK T,07:50,KAMAKHYA       ,04:15
12520,12520,12520,KYQ LTT AC EXP  ,KAMAKHYA       ,20:50,LOKMANYATILAK T,17:50
12521,12521,12521,RAPTI SAGAR EXP ,BARAUNI JN     ,23:00,ERNAKULAM JN   ,13:15
12522,12522,12522,RAPTISAGAR EXP  ,ERNAKULAM JN   ,10:15,BARAUNI JN     ,22:50
12523,12523,12523,NJP NDLS EXPRESS,NEW JALPAIGURI ,08:15,NEW DELHI      ,12:10
12524,12524,12524,NDLS NJP SF EXP ,NEW DELHI      ,15:10,NEW JALPAIGURI ,18:35
12525,12525,12525,KOAA DBRG EXP   ,KOLKATA        ,21:40,DIBRUGARH      ,02:25
12526,12526,12526,DBRG KOAA EXP   ,DIBRUGARH      ,10:25,KOLKATA        ,15:00
12531,12531,12531,LJN INTERCITY   ,GORAKHPUR JN   ,06:05,LUCKNOW NE     ,11:00
12532,12532,12532,GKP INTERCITY   ,LUCKNOW NE     ,16:35,GORAKHPUR JN   ,21:30
12533,12533,12533,PUSHPAK EXP     ,LUCKNOW NE     ,19:45,MUMBAI CST     ,20:05
12534,12534,12534,PUSHPAK EXPRESS ,MUMBAI CST     ,08:20,LUCKNOW NE     ,08:40
12537,12537,12537,MANDUADIH EXP   ,MUZAFFARPUR JN ,20:10,MANDUADIH      ,06:00
12538,12538,12538,MUV MFP EXPRESS ,MANDUADIH      ,07:50,MUZAFFARPUR JN ,17:40
12539,12539,12539,YPR LUCKNOW EXP ,YESVANTPUR JN  ,10:50,LUCKNOW NR     ,08:50
12540,12540,12540,LKO YPR SUP EXP ,LUCKNOW NR     ,20:00,YESVANTPUR JN  ,16:40
12541,12541,12541,GKP LTT SUP EXP ,GORAKHPUR JN   ,21:35,LOKMANYATILAK T,04:00
12542,12542,12542,LTT GKP SUP EXP ,LOKMANYATILAK T,11:10,GORAKHPUR JN   ,17:10
12543,12543,12543,TIRUPATHI EXP   ,YESVANTPUR JN  ,07:20,TIRUPATI       ,13:45
12547,12547,12547,AF ADI SF EXP   ,AGRA FORT      ,22:15,AHMEDABAD JN   ,13:35
12548,12548,12548,AGRA SUPER FAST ,AHMEDABAD JN   ,16:55,AGRA FORT      ,08:20
12549,12549,12549,DURG JAT SF EXP ,DURG           ,12:00,JAMMU TAWI     ,21:10
12550,12550,12550,JAT DURG SF EXP ,JAMMU TAWI     ,05:00,DURG           ,14:20
12551,12551,12551,YPRKYQ AC EXP   ,YESVANTPUR JN  ,08:30,KAMAKHYA       ,13:30
12552,12552,12552,KYQ YPR AC EXP  ,KAMAKHYA       ,14:00,YESVANTPUR JN  ,18:30
12553,12553,12553,VAISHALI EXP    ,BARAUNI JN     ,09:30,NEW DELHI      ,06:30
12554,12554,12554,VAISHALI EXP    ,NEW DELHI      ,19:50,BARAUNI JN     ,17:15
12555,12555,12555,GORAKDAM EXPRES ,GORAKHPUR JN   ,16:35,HISAR          ,10:00
12556,12556,12556,GORAKDAM EXPRES ,HISAR          ,16:25,GORAKHPUR JN   ,09:50
12557,12557,12557,SAPT KRANTI EXP ,MUZAFFARPUR JN ,12:35,ANAND VIHAR TRM,07:50
12558,12558,12558,SAPT KRANTI EXP ,ANAND VIHAR TRM,14:50,MUZAFFARPUR JN ,10:25
12559,12559,12559,SHIV GANGA EXP  ,VARANASI JN    ,19:15,NEW DELHI      ,07:40
12560,12560,12560,SHIV GANGA EXP  ,NEW DELHI      ,18:55,VARANASI JN    ,07:25
12561,12561,12561,SWATANTRA S EXP ,DARBHANGA JN   ,15:25,NEW DELHI      ,12:30
12562,12562,12562,SWATANTRTA S EXP,NEW DELHI      ,20:40,DARBHANGA JN   ,18:05
12565,12565,12565,BIHAR S KRANTI  ,DARBHANGA JN   ,08:35,NEW DELHI      ,05:30
12566,12566,12566,BIHAR S KRANTI  ,NEW DELHI      ,14:20,DARBHANGA JN   ,11:25
12567,12567,12567,RAJYA RANI EXP  ,SAHARSA JN     ,07:00,PATNA JN       ,11:00
12568,12568,12568,RAJYA RANI EXP  ,PATNA JN       ,12:45,SAHARSA JN     ,16:45
12577,12577,12577,BAGMATI EXPRESS ,DARBHANGA JN   ,16:10,MYSORE JN      ,23:35
12578,12578,12578,BAGMATI EXPRESS ,MYSORE JN      ,07:20,DARBHANGA JN   ,14:25
12587,12587,12587,AMAR NATH EXP   ,GORAKHPUR JN   ,14:05,JAMMU TAWI     ,12:30
12588,12588,12588,JAMMU GKP EXP   ,JAMMU TAWI     ,22:45,GORAKHPUR JN   ,20:45
12589,12589,12589,GKP SC EXPRESS  ,GORAKHPUR JN   ,06:35,SECUNDERABAD JN,15:10
12590,12590,12590,GORAKHPUR EXP   ,SECUNDERABAD JN,07:20,GORAKHPUR JN   ,15:20
12591,12591,12591,GKP YPR EXPRESS ,GORAKHPUR JN   ,06:35,YESVANTPUR JN  ,04:20
12592,12592,12592,GORAKHPUR EXP   ,YESVANTPUR JN  ,17:20,GORAKHPUR JN   ,15:00
12601,12601,12601,MANGALORE MAIL  ,CHENNAI CENTRAL,20:25,MANGALORE CNTL ,12:20
12602,12602,12602,CHENNAI MAIL    ,MANGALORE CNTL ,13:15,CHENNAI CENTRAL,05:25
12603,12603,12603,HYDERABAD EXP   ,CHENNAI CENTRAL,16:45,HYDERABAD DECAN,05:45
12604,12604,12604,CHENNAI EXP     ,HYDERABAD DECAN,16:55,CHENNAI CENTRAL,05:55
12605,12605,12605,PALLAVAN EXP    ,CHENNAI EGMORE ,15:45,KARAIKKUDI JN  ,23:25
12606,12606,12606,PALLAVAN EXP    ,KARAIKKUDI JN  ,04:30,CHENNAI EGMORE ,12:10
12607,12607,12607,LALBAGH EXPRESS ,CHENNAI CENTRAL,15:35,BANGALORE CY JN,21:35
12608,12608,12608,LALBAGH EXP     ,BANGALORE CY JN,06:30,CHENNAI CENTRAL,12:15
12609,12609,12609,BANGALORE EXP   ,CHENNAI CENTRAL,13:35,BANGALORE CY JN,20:05
12610,12610,12610,CHENNAI EXPRESS ,BANGALORE CY JN,08:00,CHENNAI CENTRAL,14:30
12613,12613,12613,TIPPU EXPRESS   ,MYSORE JN      ,11:00,BANGALORE CY JN,13:30
12614,12614,12614,TIPPU EXPRESS   ,BANGALORE CY JN,15:00,MYSORE JN      ,17:30
12615,12615,12615,GRAND TRUNK EXP ,CHENNAI CENTRAL,19:15,NEW DELHI      ,06:20
12616,12616,12616,G T EXPRESS     ,NEW DELHI      ,18:40,CHENNAI CENTRAL,06:15
12617,12617,12617,MANGALA LDWEEP  ,ERNAKULAM JN   ,13:20,H NIZAMUDDIN   ,13:10
